
----------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Observed  |  Rel. |     Aki    | Acc. |              Ei           Ek               |        Lower level         |      Upper level      |Type|
                 Wavelength |  Int. |     s^-1   |      |             (eV)         (eV)              |----------------------------|-----------------------|    |
                  Vac (nm)  |       |            |      |                                            | Conf.               | Term | Conf.          | Term |    |
                 245.3844   |  310* | 1.06e+07   | A    |     10.9393628      -      15.990496       | 1s2.3s              | 2S   | 1s2.5p         | 2P*  |    |
                 245.3844   |  310* | 1.06e+07   | A    |     10.9393628      -      15.990442       | 1s2.3s              | 2S   | 1s2.5p         | 2P*  |    |
                 250.7429   |  210* | 1.81e+07   | AA   |     12.157217       -      17.100434       | 1s2.3d              | 2D   | 1s2.7f         | 2F*  |    |
                 250.7429   |  210* | 1.30e+06   | AA   |     12.157282       -      17.100434       | 1s2.3d              | 2D   | 1s2.7f         | 2F*  |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 250.7429   |  210* | 1.94e+07   | AA   |     12.157282       -      17.100434       | 1s2.3d              | 2D   | 1s2.7f         | 2F*  |    |
                 256.29     |    5* |            |      |    128.03272+x      -     132.8689+x       | 1s.2s.3s            | 4S   | 1s.2s.4p       | 4P*  |    |
                 256.29     |    5* |            |      |    128.03272+x      -     132.8689+x       | 1s.2s.3s            | 4S   | 1s.2s.4p       | 4P*  |    |
                 256.29     |    5* |            |      |    128.03272+x      -     132.8689+x       | 1s.2s.3s            | 4S   | 1s.2s.4p       | 4P*  |    |
                 259.92     |   11* |            |      |    133.83908+x      -     138.6078+x?      | 1s.2p.3d            | 4D*  | 1s.2p.6f       | 4F   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 259.92     |   11* |            |      |    133.83908+x      -     138.6078+x?      | 1s.2p.3d            | 4D*  | 1s.2p.6f       | 4F   |    |
                 259.92     |   11* |            |      |    133.83908+x      -     138.6078+x?      | 1s.2p.3d            | 4D*  | 1s.2p.6f       | 4F   |    |
                 259.92     |   11* |            |      |    133.83908+x      -     138.6078+x?      | 1s.2p.3d            | 4D*  | 1s.2p.6f       | 4F   |    |
                 259.92     |   11* |            |      |    133.83908+x      -     138.6078+x?      | 1s.2p.3d            | 4D*  | 1s.2p.6f       | 4F   |    |
                 259.92     |   11* |            |      |    133.83908+x      -     138.6078+x?      | 1s.2p.3d            | 4D*  | 1s.2p.6f       | 4F   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 259.92     |   11* |            |      |    133.83908+x      -     138.6078+x?      | 1s.2p.3d            | 4D*  | 1s.2p.6f       | 4F   |    |
                 259.92     |   11* |            |      |    133.83908+x      -     138.6078+x?      | 1s.2p.3d            | 4D*  | 1s.2p.6f       | 4F   |    |
                 259.92     |   11* |            |      |    133.83908+x      -     138.6078+x?      | 1s.2p.3d            | 4D*  | 1s.2p.6f       | 4F   |    |
                 261.7985   |  110* | 2.65e+07   | A    |     11.9638993      -      16.698334       | 1s2.3p              | 2P*  | 1s2.6d         | 2D   |    |
                 261.8133   |  310* | 5.30e+06   | A    |     11.9641384      -      16.698334       | 1s2.3p              | 2P*  | 1s2.6d         | 2D   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 261.8133   |  310* | 3.18e+07   | A    |     11.9641384      -      16.698334       | 1s2.3p              | 2P*  | 1s2.6d         | 2D   |    |
                 269.7455   |   110 | 7.37e+06   | A    |     11.9638993      -      16.558887       | 1s2.3p              | 2P*  | 1s2.6s         | 2S   |    |
                 269.7585   |   310 | 1.47e+07   | A    |     11.9641384      -      16.558887       | 1s2.3p              | 2P*  | 1s2.6s         | 2S   |    |
                 272.8877   |  310* | 3.22e+07   | AA   |     12.157217       -      16.699332       | 1s2.3d              | 2D   | 1s2.6f         | 2F*  |    |
                 272.8877   |  310* | 3.46e+07   | AA   |     12.157282       -      16.699335       | 1s2.3d              | 2D   | 1s2.6f         | 2F*  |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 272.8877   |  310* | 2.31e+06   | AA   |     12.157282       -      16.699332       | 1s2.3d              | 2D   | 1s2.6f         | 2F*  |    |
                 276.42     |    3* |            |      |    130.17203+x      -     134.6549+x       | 1s.2s.3d            | 4D   | 1s.2s.5f       | 4F*  |    |
                 276.42     |    3* |            |      |    130.17203+x      -     134.6549+x       | 1s.2s.3d            | 4D   | 1s.2s.5f       | 4F*  |    |
                 276.42     |    3* |            |      |    130.17203+x      -     134.6549+x       | 1s.2s.3d            | 4D   | 1s.2s.5f       | 4F*  |    |
                 276.42     |    3* |            |      |    130.17203+x      -     134.6549+x       | 1s.2s.3d            | 4D   | 1s.2s.5f       | 4F*  |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 276.42     |    3* |            |      |    130.17203+x      -     134.6549+x       | 1s.2s.3d            | 4D   | 1s.2s.5f       | 4F*  |    |
                 276.42     |    3* |            |      |    130.17203+x      -     134.6549+x       | 1s.2s.3d            | 4D   | 1s.2s.5f       | 4F*  |    |
                 276.42     |    3* |            |      |    130.17203+x      -     134.6549+x       | 1s.2s.3d            | 4D   | 1s.2s.5f       | 4F*  |    |
                 276.42     |    3* |            |      |    130.17203+x      -     134.6549+x       | 1s.2s.3d            | 4D   | 1s.2s.5f       | 4F*  |    |
                 276.42     |    3* |            |      |    130.17203+x      -     134.6549+x       | 1s.2s.3d            | 4D   | 1s.2s.5f       | 4F*  |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 277.5      |    1* |            |      |    131.93063+x      -     136.3972+x?      | 1s.2p.3s            | 4P*  | 1s.2p.4p       | 4P   |    |
                 277.5      |    1* |            |      |    131.93063+x      -     136.3972+x?      | 1s.2p.3s            | 4P*  | 1s.2p.4p       | 4P   |    |
                 277.5      |    1* |            |      |    131.93063+x      -     136.3972+x?      | 1s.2p.3s            | 4P*  | 1s.2p.4p       | 4P   |    |
                 277.5      |    1* |            |      |    131.93063+x      -     136.3972+x?      | 1s.2p.3s            | 4P*  | 1s.2p.4p       | 4P   |    |
                 277.5      |    1* |            |      |    131.93063+x      -     136.3972+x?      | 1s.2p.3s            | 4P*  | 1s.2p.4p       | 4P   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 277.5      |    1* |            |      |    131.93063+x      -     136.3972+x?      | 1s.2p.3s            | 4P*  | 1s.2p.4p       | 4P   |    |
                 277.5      |    1* |            |      |    131.93063+x      -     136.3972+x?      | 1s.2p.3s            | 4P*  | 1s.2p.4p       | 4P   |    |
                 282.88     |    1* |            |      |    118.748a         -     123.130          | 1s.(2S).2s.2p.(3P*) | 2P*  | 1s.2p2         | 2P   |    |
                 282.88     |    1* |            |      |    118.748a         -     123.130          | 1s.(2S).2s.2p.(3P*) | 2P*  | 1s.2p2         | 2P   |    |
                 282.88     |    1* |            |      |    118.748a         -     123.130          | 1s.(2S).2s.2p.(3P*) | 2P*  | 1s.2p2         | 2P   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 282.88     |    1* |            |      |    118.748a         -     123.130          | 1s.(2S).2s.2p.(3P*) | 2P*  | 1s.2p2         | 2P   |    |
                 284.53     |    3* |            |      |    133.571          -     137.927          | 1s.2p.(3P*).3d      | 2D*  | 1s.2p.(3P*).5f | 2F   |    |
                 284.53     |    3* |            |      |    133.571          -     137.927          | 1s.2p.(3P*).3d      | 2D*  | 1s.2p.(3P*).5f | 2F   |    |
                 284.53     |    3* |            |      |    133.571          -     137.927          | 1s.2p.(3P*).3d      | 2D*  | 1s.2p.(3P*).5f | 2F   |    |
                 289.5      |     * |            |      |    131.93063+x      -     136.2118+x?      | 1s.2p.3s            | 4P*  | 1s.2p.4p       | 4D   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 289.5      |     * |            |      |    131.93063+x      -     136.2118+x?      | 1s.2p.3s            | 4P*  | 1s.2p.4p       | 4D   |    |
                 289.5      |     * |            |      |    131.93063+x      -     136.2118+x?      | 1s.2p.3s            | 4P*  | 1s.2p.4p       | 4D   |    |
                 289.5      |     * |            |      |    131.93063+x      -     136.2118+x?      | 1s.2p.3s            | 4P*  | 1s.2p.4p       | 4D   |    |
                 289.5      |     * |            |      |    131.93063+x      -     136.2118+x?      | 1s.2p.3s            | 4P*  | 1s.2p.4p       | 4D   |    |
                 289.5      |     * |            |      |    131.93063+x      -     136.2118+x?      | 1s.2p.3s            | 4P*  | 1s.2p.4p       | 4D   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 289.5      |     * |            |      |    131.93063+x      -     136.2118+x?      | 1s.2p.3s            | 4P*  | 1s.2p.4p       | 4D   |    |
                 289.5      |     * |            |      |    131.93063+x      -     136.2118+x?      | 1s.2p.3s            | 4P*  | 1s.2p.4p       | 4D   |    |
                 303.1      |     * |            |      |    133.83908+x      -     137.9292+x       | 1s.2p.3d            | 4D*  | 1s.2p.5f       | 4F   |    |
                 303.1      |     * |            |      |    133.83908+x      -     137.9292+x       | 1s.2p.3d            | 4D*  | 1s.2p.5f       | 4F   |    |
                 303.1      |     * |            |      |    133.83908+x      -     137.9292+x       | 1s.2p.3d            | 4D*  | 1s.2p.5f       | 4F   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 303.1      |     * |            |      |    133.83908+x      -     137.9292+x       | 1s.2p.3d            | 4D*  | 1s.2p.5f       | 4F   |    |
                 303.1      |     * |            |      |    133.83908+x      -     137.9292+x       | 1s.2p.3d            | 4D*  | 1s.2p.5f       | 4F   |    |
                 303.1      |     * |            |      |    133.83908+x      -     137.9292+x       | 1s.2p.3d            | 4D*  | 1s.2p.5f       | 4F   |    |
                 303.1      |     * |            |      |    133.83908+x      -     137.9292+x       | 1s.2p.3d            | 4D*  | 1s.2p.5f       | 4F   |    |
                 303.1      |     * |            |      |    133.83908+x      -     137.9292+x       | 1s.2p.3d            | 4D*  | 1s.2p.5f       | 4F   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 303.1      |     * |            |      |    133.83908+x      -     137.9292+x       | 1s.2p.3d            | 4D*  | 1s.2p.5f       | 4F   |    |
                 304.6524   |   210 | 4.65e+07   | A    |     11.9638993      -      16.032412       | 1s2.3p              | 2P*  | 1s2.5d         | 2D   |    |
                 304.6691   |   410 | 5.60e+07   | A    |     11.9641384      -      16.032427       | 1s2.3p              | 2P*  | 1s2.5d         | 2D   |    |
                 313.04219  |  2360 | 1.1292e+08 | AAA  |      0.000000       -       3.9594749      | 1s2.2s              | 2S   | 1s2.2p         | 2P*  |    |
                 313.10667  |  2160 | 1.1285e+08 | AAA  |      0.000000       -       3.9586596      | 1s2.2s              | 2S   | 1s2.2p         | 2P*  |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 317.987    |   25* |            |      |    128.03272+x      -     131.93063+x      | 1s.2s.3s            | 4S   | 1s.2p.3s       | 4P*  |    |
                 317.987    |   25* |            |      |    128.03272+x      -     131.93063+x      | 1s.2s.3s            | 4S   | 1s.2p.3s       | 4P*  |    |
                 317.987    |   25* |            |      |    128.03272+x      -     131.93063+x      | 1s.2s.3s            | 4S   | 1s.2p.3s       | 4P*  |    |
                 319.7103   |   310 | 6.82e+07   | AA   |     12.157217       -      16.034113       | 1s2.3d              | 2D   | 1s2.5f         | 2F*  |    |
                 319.7149   |   410 | 7.31e+07   | AA   |     12.157282       -      16.034122       | 1s2.3d              | 2D   | 1s2.5f         | 2F*  |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 323.1      | 20bl* |            |      |    129.399+x        -     133.23436+x      | 1s.2s.3p            | 4P*  | 1s.2p.3p       | 4P   |    |
                 323.1      | 20bl* |            |      |    129.399+x        -     133.23436+x      | 1s.2s.3p            | 4P*  | 1s.2p.3p       | 4P   |    |
                 323.1      | 20bl* |            |      |    129.399+x        -     133.23436+x      | 1s.2s.3p            | 4P*  | 1s.2p.3p       | 4P   |    |
                 323.1      | 20bl* |            |      |    129.399+x        -     133.23436+x      | 1s.2s.3p            | 4P*  | 1s.2p.3p       | 4P   |    |
                 323.1      | 20bl* |            |      |    129.399+x        -     133.23436+x      | 1s.2s.3p            | 4P*  | 1s.2p.3p       | 4P   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 323.1      | 20bl* |            |      |    129.399+x        -     133.23436+x      | 1s.2s.3p            | 4P*  | 1s.2p.3p       | 4P   |    |
                 323.1      | 20bl* |            |      |    129.399+x        -     133.23436+x      | 1s.2s.3p            | 4P*  | 1s.2p.3p       | 4P   |    |
                 323.3519   |   10* | 3.74e+06   | A    |     12.157217       -      15.990442       | 1s2.3d              | 2D   | 1s2.5p         | 2P*  |    |
                 323.3519   |   10* | 3.37e+06   | A    |     12.157282       -      15.990496       | 1s2.3d              | 2D   | 1s2.5p         | 2P*  |    |
                 324        | 20bl* |            |      |    129.399+x        -     133.224+x        | 1s.2s.3p            | 4P*  | 1s.2s.4d       | 4D   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 324        | 20bl* |            |      |    129.399+x        -     133.224+x        | 1s.2s.3p            | 4P*  | 1s.2s.4d       | 4D   |    |
                 324        | 20bl* |            |      |    129.399+x        -     133.224+x        | 1s.2s.3p            | 4P*  | 1s.2s.4d       | 4D   |    |
                 324        | 20bl* |            |      |    129.399+x        -     133.224+x        | 1s.2s.3p            | 4P*  | 1s.2s.4d       | 4D   |    |
                 324        | 20bl* |            |      |    129.399+x        -     133.224+x        | 1s.2s.3p            | 4P*  | 1s.2s.4d       | 4D   |    |
                 324        | 20bl* |            |      |    129.399+x        -     133.224+x        | 1s.2s.3p            | 4P*  | 1s.2s.4d       | 4D   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 324        | 20bl* |            |      |    129.399+x        -     133.224+x        | 1s.2s.3p            | 4P*  | 1s.2s.4d       | 4D   |    |
                 324        | 20bl* |            |      |    129.399+x        -     133.224+x        | 1s.2s.3p            | 4P*  | 1s.2s.4d       | 4D   |    |
                 324.1625   |   210 | 1.39e+07   | A    |     11.9638993      -      15.787542       | 1s2.3p              | 2P*  | 1s2.5s         | 2S   |    |
                 324.1827   |   410 | 2.77e+07   | A    |     11.9641384      -      15.787542       | 1s2.3p              | 2P*  | 1s2.5s         | 2S   |    |
                 327.4584   |   610 | 1.41e+07   | A    |     10.9393628      -      14.724526       | 1s2.3s              | 2S   | 1s2.4p         | 2P*  |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 327.4670   |   410 | 1.41e+07   | A    |     10.9393628      -      14.724426       | 1s2.3s              | 2S   | 1s2.4p         | 2P*  |    |
                 327.6      |     * |            |      |    129.399+x        -     133.1821+x?      | 1s.2s.3p            | 4P*  | 1s.2p.3p       | 4S   |    |
                 327.6      |     * |            |      |    129.399+x        -     133.1821+x?      | 1s.2s.3p            | 4P*  | 1s.2p.3p       | 4S   |    |
                 327.6      |     * |            |      |    129.399+x        -     133.1821+x?      | 1s.2s.3p            | 4P*  | 1s.2p.3p       | 4S   |    |
                 337.99     |    9* |            |      |    130.17203+x      -     133.83908+x      | 1s.2s.3d            | 4D   | 1s.2p.3d       | 4D*  |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 337.99     |    9* |            |      |    130.17203+x      -     133.83908+x      | 1s.2s.3d            | 4D   | 1s.2p.3d       | 4D*  |    |
                 337.99     |    9* |            |      |    130.17203+x      -     133.83908+x      | 1s.2s.3d            | 4D   | 1s.2p.3d       | 4D*  |    |
                 337.99     |    9* |            |      |    130.17203+x      -     133.83908+x      | 1s.2s.3d            | 4D   | 1s.2p.3d       | 4D*  |    |
                 337.99     |    9* |            |      |    130.17203+x      -     133.83908+x      | 1s.2s.3d            | 4D   | 1s.2p.3d       | 4D*  |    |
                 337.99     |    9* |            |      |    130.17203+x      -     133.83908+x      | 1s.2s.3d            | 4D   | 1s.2p.3d       | 4D*  |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 337.99     |    9* |            |      |    130.17203+x      -     133.83908+x      | 1s.2s.3d            | 4D   | 1s.2p.3d       | 4D*  |    |
                 337.99     |    9* |            |      |    130.17203+x      -     133.83908+x      | 1s.2s.3d            | 4D   | 1s.2p.3d       | 4D*  |    |
                 337.99     |    9* |            |      |    130.17203+x      -     133.83908+x      | 1s.2s.3d            | 4D   | 1s.2p.3d       | 4D*  |    |
                 337.99     |    9* |            |      |    130.17203+x      -     133.83908+x      | 1s.2s.3d            | 4D   | 1s.2p.3d       | 4D*  |    |
                 340.54     |    9* |            |      |    133.03492+x      -    [136.67472]+x     | 1s.2s.4f            | 4F*  | 1s.2p.4f       | 4F   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 340.54     |    9* |            |      |    133.03492+x      -    [136.67472]+x     | 1s.2s.4f            | 4F*  | 1s.2p.4f       | 4F   |    |
                 340.54     |    9* |            |      |    133.03492+x      -    [136.67472]+x     | 1s.2s.4f            | 4F*  | 1s.2p.4f       | 4F   |    |
                 340.54     |    9* |            |      |    133.03492+x      -    [136.67472]+x     | 1s.2s.4f            | 4F*  | 1s.2p.4f       | 4F   |    |
