
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |      Rel. |    Aki    | Acc. |             Ei           Ek             |           Lower level           |           Upper level           |Type|
          |               Wavelength |      Int. |    s^-1   |      |            (eV)         (eV)            |---------------------------------|---------------------------------|    |
          |                Vac (nm)  |           |           |      |                                         | Conf.                 | Term    | Conf.                 | Term    |    |
Ar III    |             133.8620     |        12 |           |      |     19.4559166     -      28.7181318    | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2D*).4p      | 3P      |    |
Ar III    |             134.0520     |         9 |           |      |     19.4692145     -      28.7181318    | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2D*).4p      | 3P      |    |
Ar V      |             134.168      |         1 |           |      |     23.74754       -      32.9891       | 3s.3p3                | 3S*     | 3p4                   | 3P      |    |
Ar III    |             134.3710     |        12 |           |      |     19.4559166     -      28.68277174   | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2D*).4p      | 3P      |    |
Ar III    |             134.5680     |         3 |           |      |     19.4692145     -      28.68277174   | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2D*).4p      | 3P      |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar II     |             134.8745     |         1 |           |      |     16.42557551    -      25.61809921   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<0>).5f    | 2[3]*   |    |
Ar V      |             135.043      |         5 |           |      |     23.74754       -      32.92866      | 3s.3p3                | 3S*     | 3p4                   | 3P      |    |
Ar II     |             135.1330     |         1 |           |      |     16.44411374    -      25.61906687   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<0>).5f    | 2[3]*   |    |
Ar II     |             135.4912     |         2 |           |      |     16.40650114    -      25.55720792   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<1>).5f    | 2[4]*   |    |
Ar II     |             135.7435     |         0 |           |      |     16.42557551    -      25.55922041   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<1>).5f    | 2[4]*   |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar II     |             136.0735     |         1 |           |      |     16.44411374    -      25.55566859   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<1>).5f    | 2[2]*   |    |
Ar II     |             136.3031     |         2 |           |      |     16.45737710    -      25.55357301   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<1>).5f    | 2[2]*   |    |
Ar V      |             137.192      |         5 |           |      |     23.74754       -      32.78515      | 3s.3p3                | 3S*     | 3p4                   | 3P      |    |
Ar II     |             137.6107     |       0.5 |           |      |     16.40650114    -      25.41628519   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<2>).5f    | 2[3]*   |    |
Ar II     |             137.6956     |         1 |           |      |     16.40650114    -      25.41070013   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<2>).5f    | 2[4]*   |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar II     |             137.7211     |         4 |           |      |     16.40650114    -      25.40905362   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<2>).5f    | 2[4]*   |    |
Ar II     |             137.7442     |         0 |           |      |     16.42557551    -      25.42657082   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<2>).5f    | 2[2]*   |    |
Ar II     |             137.9377     |         1 |           |      |     16.42557551    -      25.41398807   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<2>).5f    | 2[3]*   |    |
Ar II     |             137.9884     |         3 |           |      |     16.42557551    -      25.41070013   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<2>).5f    | 2[4]*   |    |
Ar II     |             138.0723     |         1 |           |      |     16.44411374    -      25.42374123   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<2>).5f    | 2[2]*   |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar II     |             138.2228     |         2 |           |      |     16.44411374    -      25.41398807   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<2>).5f    | 2[3]*   |    |
Ar II     |             138.2765     |         1 |           |      |     16.45737710    -      25.42374123   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<2>).5f    | 2[2]*   |    |
Ar XI     |             139.212      |           |           |      |      0.00000       -       8.90621      | 2s2.2p4               | 3P      | 2s2.2p4               | 1D      | M1 |
Ar IV     |             139.564      |         6 |           |      |     27.77485       -      36.65843      | 3s.3p4                | 2P      | 3s2.3p2.(3P).4p       | 2P*     |    |
Ar II     |             139.6231     |         1 |           |      |     17.62885556    -      26.508765     | 3s2.3p4.(3P).3d       | 4F      | 3s2.3p4.(3P<2>).7f    | 2[5]*   |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar IV     |             140.750      |         9 |           |      |     27.86599       -      36.67480      | 3s2.3p2.(3P).3d       | 2D      | 3s2.3p2.(3P).4p       | 2P*     |    |
Ar IV     |             140.930      |       14q |           |      |     27.37407       -      36.17164      | 3s2.3p2.(3P).3d       | 4P      | 3s2.3p2.(3P).4p       | 4S*     |    |
Ar IV     |             141.013      |        15 |           |      |     27.86599       -      36.65843      | 3s2.3p2.(3P).3d       | 2D      | 3s2.3p2.(3P).4p       | 2P*     |    |
Ar V      |             141.397      |         2 |           |      |     24.22102       -      32.9891       | 3s.3p3                | 1P*     | 3p4                   | 3P      |    |
Ar IV     |             141.959      |        15 |           |      |     27.43781       -      36.17164      | 3s2.3p2.(3P).3d       | 4P      | 3s2.3p2.(3P).4p       | 4S*     |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar VI     |             142.060      |         4 |           |      |     56.3889        -      65.1165       | 3s2.4d                | 2D      | 3s.3p.(1P*).4s        | 2P*     |    |
Ar III    |             142.2000     |         9 |           |      |     19.4559166     -      28.17468522   | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2D*).4p      | 1F      |    |
Ar VI     |             142.251      |         4 |           |      |     56.3819        -      65.0979       | 3s2.4d                | 2D      | 3s.3p.(1P*).4s        | 2P*     |    |
Ar IV     |             142.619      |        15 |           |      |     27.47829       -      36.17164      | 3s2.3p2.(3P).3d       | 4P      | 3s2.3p2.(3P).4p       | 4S*     |    |
Ar III    |             143.4070     |        12 |           |      |     19.4550439     -      28.10060555   | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2D*).4p      | 3F      |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar IV     |             143.557      |        14 |           |      |     28.03813       -      36.67480      | 3s2.3p2.(3P).3d       | 2D      | 3s2.3p2.(3P).4p       | 2P*     |    |
Ar III    |             143.7020     |        15 |           |      |     19.4550439     -      28.08293550   | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2D*).4p      | 3F      |    |
Ar III    |             143.7170     |        12 |           |      |     19.4559166     -      28.08293550   | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2D*).4p      | 3F      |    |
