
---------------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |     Rel. |    Aki    | Acc. |          Ei           Ek          |        Lower level         |         Upper level         |Type|
           Wavelength |     Int. |    s^-1   |      |         (eV)         (eV)         |----------------------------|-----------------------------|    |
            Air (nm)  |          |           |      |                                   | Conf.               | Term | Conf.                | Term |    |
            332.5552  |     200* |           |      |    2.148401     -     5.875579    | 4d6.(3H).5s         | 4H   | 4d5.(4G).5s.(3G).5p  | 4G*  |    |
            332.5552  |     200* |           |      |    2.142773     -     5.869896    | 4d6.(3H).5s         | 4H   | 4d5.(4G).5s.(3G).5p  | 4G*  |    |
            332.7102  |   150c,w |           |      |    0.318998     -     4.044411    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 4D*  |    |
            333.0766  |      100 |           |      |    1.643130     -     5.364444    | 4d6.(3P2).5s        | 4P   | 4d5.(4D).5s.(5D).5p  | 6D*  |    |
            333.2468  |       50 |           |      |    2.142773     -     5.862203    | 4d6.(3H).5s         | 4H   | 4d5.(4P).5s.(5P).5p  | 4P*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            335.0563  |       60 |           |      |    1.756825     -     5.456172    | 4d6.(3P2).5s        | 4P   | 4d6.(3D).5p          | 2D*  |    |
            335.0830  |      50c |           |      |    0.403061     -     4.102103    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 4D*  |    |
            336.6753  |      400 |           |      |    2.125932     -     5.807493    | 4d6.(3H).5s         | 4H   | 4d6.(3G).5p          | 4H*  |    |
            338.6674  |       40 |           |      |    1.643130     -     5.303030    | 4d6.(3P2).5s        | 4P   | 4d6.(3G).5p          | 4G*  |    |
            339.2227  |       50 |           |      |                                   |                     |      |                      |      |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            339.4179  |      300 |           |      |    2.148401     -     5.800204    | 4d6.(3H).5s         | 4H   | 4d6.(3G).5p          | 4H*  |    |
            339.6903  |       60 |           |      |    1.820076     -     5.468948    | 4d6.(3P2).5s        | 4P   | 4d6.(3F2).5p         | 2D*  |    |
            339.7830  |       40 |           |      |                                   |                     |      |                      |      |    |
            339.8327  |     300* |           |      |    2.142773     -     5.790129    | 4d6.(3H).5s         | 4H   | 4d6.(3G).5p          | 4H*  |    |
            339.8327  |     300* |           |      |    4.044411     -     7.691764?   | 4d6.(5D).5p         | 4D*  |                      | 5    |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            340.2105  |      200 |           |      |    0.458808     -     4.102103    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 4D*  |    |
            340.3931  |     200c |           |      |    0.403061     -     4.044411    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 4D*  |    |
            340.5328  |       80 |           |      |    1.826676     -     5.466531    | 4d7                 | 4F   | 4d6.(3F2).5p         | 4F*  |    |
            340.7281  |       80 |           |      |    0.496255     -     4.134027    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 4D*  |    |
            340.8331  |       50 |           |      |    1.937160     -     5.573819    | 4d6.(3F2).5s        | 4F   |                      | 2*   |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            341.1804  |       40 |           |      |    0.518099     -     4.151049    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 4D*  |    |
            341.8203  |    40c,w |           |      |    1.303883     -     4.930031    | 4d6.(5D).5s         | 4D   | 4d5.(4G).5s.(5G).5p  | 6F*  |    |
            341.9100  |     100* |           |      |    1.896767     -     5.521982    | 4d6.(3F2).5s        | 4F   | 4d6.(3P2).5p         | 4D*  |    |
            341.9100  |     100* |           |      |    1.826676     -     5.451809    | 4d7                 | 4F   | 4d6.(3H).5p          | 4H*  |    |
            342.7853  |       60 |           |      |    0.518099     -     4.134027    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 4D*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            343.1750  |       40 |           |      |    2.629080     -     6.240896    | 4d6.(3H).5s         | 2H   | 4d6.(1I).5p          | 2I*  |    |
            343.4701  |      200 |           |      |    1.955283     -     5.564008    | 4d6.(3F2).5s        | 4F   | 4d6.(3F2).5p         | 4F*  |    |
            343.5679  |       40 |           |      |    1.937160     -     5.544855    | 4d6.(3F2).5s        | 4F   | 4d6.(3P2).5p         | 4D*  |    |
            343.7439  |      150 |           |      |    0.496255     -     4.102103    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 4D*  |    |
            343.8729  |       80 |           |      |    1.826676     -     5.431159    | 4d7                 | 4F   | 4d6.(3F2).5p         | 2F*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            344.3472  |    200c* |           |      |    0.318998     -     3.918520    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 4F*  |    |
            344.3472  |    200c* |           |      |    2.576866     -     6.176382    | 4d7                 | 4F   | 4d6.(1I).5p          | 2H*  |    |
            345.1050  |      200 |           |      |    1.896767     -     5.488395    | 4d6.(3F2).5s        | 4F   | 4d5.(4G).5s.(3G).5p  | 2F*  |    |
            345.6849  |      200 |           |      |    0.458808     -     4.044411    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 4D*  |    |
            345.7243  |      400 |           |      |    1.826676     -     5.411877    | 4d7                 | 4F   | 4d6.(3F2).5p         | 4F*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            345.7603  |       40 |           |      |    1.937160     -     5.521982    | 4d6.(3F2).5s        | 4F   | 4d6.(3P2).5p         | 4D*  |    |
            346.6278  |  5000c,w | 1.22e+08  |      |    0.318998     -     3.894846    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 6P*  |    |
            347.0514  |      150 |           |      |                                   |                     |      |                      |      |    |
            347.5178  |       80 |           |      |    1.955283     -     5.521982    | 4d6.(3F2).5s        | 4F   | 4d6.(3P2).5p         | 4D*  |    |
            347.5592  |     1000 |           |      |    0.403061     -     3.969330    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 4F*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            348.4620  |       60 |           |      |    1.937160     -     5.494182    | 4d6.(3F2).5s        | 4F   | 4d6.(3D).5p          | 4P*  |    |
