
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek            |         Lower level          |         Upper level          |Type|
          |              Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)           |------------------------------|------------------------------|    |
          |               Vac (nm)  |       |           |      |                                      | Conf.             | Term     | Conf.             | Term     |    |
Ba III    |              142.2862   |     3 |           |      |    24.351770     -     33.065504     | 5p5.(2P*<1/2>).4f | 2[5/2]   | 5p5.(2P*<1/2>).5g | 2[7/2]*  |    |
Ba II     |              143.315    |       |           |      |     0.7035864    -      9.35430      | 5d                | 2D       | 10f               | 2F*      |    |
Ba III    |              143.6831   |    10 |           |      |    19.776619     -     28.405639     | 5p5.(2P*<1/2>).5d | 2[3/2]*  | 5p5.(2P*<3/2>).5f | 2[5/2]   |    |
Ba III    |              143.7825   |     5 |           |      |    19.776619     -     28.399642     | 5p5.(2P*<1/2>).5d | 2[3/2]*  | 5p5.(2P*<3/2>).7p | 2[5/2]   |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba II     |              144.485    |       |           |      |     0.6042806    -      9.186119     | 5d                | 2D       | 9f                | 2F*      |    |
Ba III    |              145.3460   |     9 |           |      |    19.776619     -     28.306914     | 5p5.(2P*<1/2>).5d | 2[3/2]*  | 5p5.(2P*<3/2>).5f | 2[3/2]   |    |
Ba III    |              145.6496   |    1p |           |      |    19.776619     -     28.289124     | 5p5.(2P*<1/2>).5d | 2[3/2]*  | 5p5.(2P*<3/2>).5f | 2[3/2]   |    |
Ba III    |              145.6786   |     3 |           |      |    19.975004     -     28.485808     | 5p5.(2P*<1/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).5f | 2[7/2]   |    |
Ba III    |              146.4901   |     7 |           |      |    22.018781     -     30.482459     | 5p5.(2P*<3/2>).6p | 2[1/2]   | 5p5.(2P*<3/2>).7d | 2[3/2]*  |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              147.0644   |     1 |           |      |    19.975004     -     28.405639     | 5p5.(2P*<1/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).5f | 2[5/2]   |    |
Ba III    |              147.5575   |     1 |           |      |    22.018781     -     30.421210     | 5p5.(2P*<3/2>).6p | 2[1/2]   | 5p5.(2P*<3/2>).7d | 2[1/2]*  |    |
Ba III    |              147.6389   |     9 |           |      |    22.018781     -     30.416580     | 5p5.(2P*<3/2>).6p | 2[1/2]   | 5p5.(2P*<3/2>).8s | 2[3/2]*  |    |
Ba III    |              147.8847   |    12 |           |      |    19.975004     -     28.358846     | 5p5.(2P*<1/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).5f | 2[9/2]   |    |
Ba III    |              147.9915   |     6 |           |      |    22.165471     -     30.543348     | 5p5.(2P*<3/2>).4f | 2[7/2]   | 5p5.(2P*<3/2>).7d | 2[5/2]*  |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              148.1846   |   7bl |           |      |    22.018781     -     30.385672     | 5p5.(2P*<3/2>).6p | 2[1/2]   | 5p5.(2P*<3/2>).7d | 2[1/2]*  |    |
Ba III    |              149.8330   |     9 |           |      |    16.684320     -     24.959134     | 5p5.(2P*<3/2>).5d | 2[1/2]*  | 5p5.(2P*<1/2>).6p | 2[1/2]   |    |
Ba III    |              150.0244   |     8 |           |      |    22.639339     -     30.903604     | 5p5.(2P*<3/2>).4f | 2[5/2]   | 5p5.(2P*<3/2>).5g | 2[7/2]*  |    |
Ba III    |              150.1714   |     7 |           |      |    22.258954     -     30.515119     | 5p5.(2P*<3/2>).6p | 2[5/2]   | 5p5.(2P*<3/2>).7d | 2[5/2]*  |    |
Ba II     |              150.401    |       |           |      |     0.7035864    -      8.947963     | 5d                | 2D       | 8f                | 2F*      |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              150.4220   |    10 |           |      |    22.320466     -     30.562945     | 5p5.(2P*<1/2>).5d | 2[3/2]*  | 5p5.(2P*<1/2>).5f | 2[5/2]   |    |
Ba III    |              150.7673   |     3 |           |      |    22.258954     -     30.482459     | 5p5.(2P*<3/2>).6p | 2[5/2]   | 5p5.(2P*<3/2>).7d | 2[3/2]*  |    |
Ba III    |              150.7809   |     4 |           |      |    22.639339     -     30.862137     | 5p5.(2P*<3/2>).4f | 2[5/2]   | 5p5.(2P*<3/2>).5g | 2[5/2]*  |    |
Ba III    |              151.0676   |    12 |           |      |    22.258954     -     30.466163     | 5p5.(2P*<3/2>).6p | 2[5/2]   | 5p5.(2P*<3/2>).7d | 2[7/2]*  |    |
Ba III    |              151.2891   |     7 |           |      |    22.258954     -     30.454103     | 5p5.(2P*<3/2>).6p | 2[5/2]   | 5p5.(2P*<3/2>).8s | 2[3/2]*  |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              151.4223   |    12 |           |      |    16.684320     -     24.872290     | 5p5.(2P*<3/2>).5d | 2[1/2]*  | 5p5.(2P*<1/2>).6p | 2[3/2]   |    |
Ba III    |              151.8986   |     7 |           |      |    22.258954     -     30.421210     | 5p5.(2P*<3/2>).6p | 2[5/2]   | 5p5.(2P*<3/2>).7d | 2[1/2]*  |    |
Ba III    |              151.9857   |     6 |           |      |    22.258954     -     30.416580     | 5p5.(2P*<3/2>).6p | 2[5/2]   | 5p5.(2P*<3/2>).8s | 2[3/2]*  |    |
Ba III    |              154.0526   |     5 |           |      |    22.654692     -     30.702893     | 5p5.(2P*<3/2>).6p | 2[3/2]   | 5p5.(2P*<3/2>).7d | 2[3/2]*  |    |
Ba III    |              154.9600   |    7p |           |      |    22.542331     -     30.543348     | 5p5.(2P*<3/2>).6p | 2[5/2]   | 5p5.(2P*<3/2>).7d | 2[5/2]*  |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba II     |              155.438    |       |           |      |     0.6042806    -      8.581163     | 5d                | 2D       | 7f                | 2F*      |    |
Ba III    |              156.4694   |     3 |           |      |    22.542331     -     30.466163     | 5p5.(2P*<3/2>).6p | 2[5/2]   | 5p5.(2P*<3/2>).7d | 2[7/2]*  |    |
Ba III    |              156.5611   |    12 |           |      |    16.461479     -     24.380662     | 5p5.(2P*<3/2>).5d | 2[1/2]*  | 5p5.(2P*<1/2>).6p | 2[3/2]   |    |
Ba III    |              156.6123   |    12 |           |      |    22.542331     -     30.458949     | 5p5.(2P*<3/2>).6p | 2[5/2]   | 5p5.(2P*<3/2>).7d | 2[7/2]*  |    |
Ba II     |              157.273    |       |           |      |     0.7035864    -      8.587202     | 5d                | 2D       | 7f                | 2F*      |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba II     |              157.392    |       |           |      |     0.7035864    -      8.581163     | 5d                | 2D       | 7f                | 2F*      |    |
Ba III    |              157.4547   |    12 |           |      |    22.542331     -     30.416580     | 5p5.(2P*<3/2>).6p | 2[5/2]   | 5p5.(2P*<3/2>).8s | 2[3/2]*  |    |
Ba III    |              157.7323   |     9 |           |      |    22.654692     -     30.515119     | 5p5.(2P*<3/2>).6p | 2[3/2]   | 5p5.(2P*<3/2>).7d | 2[5/2]*  |    |
Ba III    |              158.9657   |     7 |           |      |    22.654692     -     30.454103     | 5p5.(2P*<3/2>).6p | 2[3/2]   | 5p5.(2P*<3/2>).8s | 2[3/2]*  |    |
Ba III    |              159.4188   |     3 |           |      |    22.639339     -     30.416580     | 5p5.(2P*<3/2>).4f | 2[5/2]   | 5p5.(2P*<3/2>).8s | 2[3/2]*  |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              159.6796   |    12 |           |      |    17.107728     -     24.872290     | 5p5.(2P*<3/2>).5d | 2[3/2]*  | 5p5.(2P*<1/2>).6p | 2[3/2]   |    |
Ba III    |              161.0954   |    12 |           |      |    16.684320     -     24.380662     | 5p5.(2P*<3/2>).5d | 2[1/2]*  | 5p5.(2P*<1/2>).6p | 2[3/2]   |    |
