
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                          Observed  |       Rel. |    Aki    | Acc. |                   Ei           Ek                  |          Lower level          |          Upper level          |Type|
          |                         Wavelength |       Int. |    s^-1   |      |                  (eV)         (eV)                 |-------------------------------|-------------------------------|    |
          |                          Vac (nm)  |            |           |      |                                                    | Conf.              | Term     | Conf.              | Term     |    |
Cs II     |                     165.04964      |         25 |           |      |    13.91667299           -     21.42860824         | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).6f  | 2[9/2]   |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs II     |                     165.08131      |          1 |           |      |    14.66417831           -     22.17467066         | 5p5.(2P*<3/2>).5d  | 2[5/2]*  | 5p5.(2P*<3/2>).8f  | 2[5/2]   |    |
Cs II     |                     165.27899      |          3 |           |      |    13.31609577           -     20.81760831         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<3/2>).5f  | 2[5/2]   |    |
Cs II     |                     165.32816      |          2 |           |      |    13.33723517           -     20.83651828         | 5p5.(2P*<3/2>).5d  | 2[1/2]*  | 5p5.(2P*<3/2>).8p  | 2[3/2]   |    |
Cs III    |                     165.34635      |       3000 | 4.43e+06  |      |    15.0102282            -     22.5086837          | 5s2.5p4.(3P<2>).5d | 2[2]     | 5s2.5p4.(1D<2>).6p | 2[3]*    |    |
Cs II     |                     165.42756      |          3 |           |      |    13.98595023           -     21.48072545         | 5p5.(2P*<3/2>).5d  | 2[3/2]*  | 5p5.(2P*<3/2>).6f  | 2[7/2]   |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs III    |                     165.45622      |       1800 | 8.79e+06  |      |    16.7479160            -     24.2413907          | 5s2.5p4.(3P<1>).5d | 2[3]     | 5s2.5p4.(1D<2>).4f | 2[3]*    |    |
Cs II     |                     165.6149       |        300 |           |      |    13.91667299           -     21.40296744         | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).6f  | 2[9/2]   |    |
Cs II     |                     165.78341      |          4 |           |      |    13.37964988           -     20.85833894         | 5p5.(2P*<3/2>).5d  | 2[1/2]*  | 5p5.(2P*<3/2>).8p  | 2[3/2]   |    |
Cs III    |                     165.80132      |       2400 | 9.11e+06  |      |    14.9308090            -     22.4086913          | 5s2.5p4.(3P<2>).5d | 2[2]     | 5s2.5p4.(3P<2>).4f | 2[4]*    |    |
Cs II     |                     165.83443      |          6 |           |      |    13.31609577           -     20.79248518         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<3/2>).8p  | 2[5/2]   |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs III    |                     166.05015      |       1200 | 1.02e+07  |      |    17.0831862            -     24.5498628          | 5s2.5p4.(3P<1>).5d | 2[3]     | 5s2.5p4.(3P<1>).4f | 2[3]*    |    |
Cs II     |                     166.18514      |         90 |           |      |    13.98595023           -     21.44655511         | 5p5.(2P*<3/2>).5d  | 2[3/2]*  | 5p5.(2P*<3/2>).6f  | 2[5/2]   |    |
Cs II     |                     166.20410      |          3 |           |      |    14.10019709           -     21.5599623          | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).9p  | 2[5/2]   |    |
Cs II     |                     166.39691      |         10 |           |      |    13.31609577           -     20.76721093         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<3/2>).8p  | 2[1/2]   |    |
Cs II     |                     166.43092      |          3 |           |      |    14.10019709           -     21.5497913          | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).9p  | 2[5/2]   |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs II     |                     166.61279      |         16 |           |      |    13.75658687           -     21.19804655         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<1/2>).4f  | 2[5/2]   |    |
