
------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |      Lower level      |      Upper level      |Type|
          |           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |-----------------------|-----------------------|    |
          |            Vac (nm)  |       |           |      |                                   | Conf.          | Term | Conf.          | Term |    |
N II      |            480.329   |   450 | 3.17e+07  | B    |    20.665517    -     23.246032   | 2s2.2p.3p      | 3D   | 2s2.2p.3d      | 3D*  |    |
N III     |            485.882   |    90 | 4.35e+07  | B    |    38.39247     -     40.94356    | 2s.2p.(3P*).3p | 4D   | 2s.2p.(3P*).3d | 4F*  |    |
N III     |            486.715   |   150 | 6.18e+07  | B    |    38.41648     -     40.96313    | 2s.2p.(3P*).3p | 4D   | 2s.2p.(3P*).3d | 4F*  |    |
N II      |            489.511   |   285 | 3.04e+06  | D    |    17.877025    -     20.409132   | 2s.2p3         | 1D*  | 2s2.2p.3p      | 1P   |    |
N II      |            498.737   |   285 | 6.98e+07  | B+   |    20.939964    -     23.425231   | 2s2.2p.3p      | 3S   | 2s2.2p.3d      | 3P*  |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N II      |            499.436   |   450 | 2.62e+07  | C+   |    25.497873    -     27.979664   | 2s.2p2.(4P).3s | 5P   | 2s.2p2.(4P).3p | 5P*  |    |
N II      |            500.148   |   650 | 1.04e+08  | A    |    20.653591    -     23.131852   | 2s2.2p.3p      | 3D   | 2s2.2p.3d      | 3F*  |    |
N II      |            500.270   |   360 | 8.33e+06  | B    |    18.462311    -     20.939964   | 2s2.2p.3s      | 3P*  | 2s2.2p.3p      | 3S   |    |
N II      |            500.515   |   870 | 1.14e+08  | A    |    20.665517    -     23.141958   | 2s2.2p.3p      | 3D   | 2s2.2p.3d      | 3F*  |    |
N II      |            500.732   |   550 | 7.43e+07  | B+   |    20.939964    -     23.415329   | 2s2.2p.3p      | 3S   | 2s2.2p.3d      | 3P*  |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N II      |            501.062   |   450 | 2.10e+07  | B    |    18.466227    -     20.939964   | 2s2.2p.3s      | 3P*  | 2s2.2p.3p      | 3S   |    |
N II      |            501.639   |   360 | 1.59e+07  | A    |    20.653591    -     23.124488   | 2s2.2p.3p      | 3D   | 2s2.2p.3d      | 3F*  |    |
N II      |            502.566   |   360 | 1.04e+07  | A    |    20.665517    -     23.131852   | 2s2.2p.3p      | 3D   | 2s2.2p.3d      | 3F*  |    |
N II      |            504.510   |   550 | 3.37e+07  | B    |    18.483132    -     20.939964   | 2s2.2p.3s      | 3P*  | 2s2.2p.3p      | 3S   |    |
N III     |            531.435   |    90 | 1.14e+07  | B    |    39.35199     -     41.68434    | 2s.2p.(3P*).3p | 4P   | 2s.2p.(3P*).3d | 4P*  |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N III     |            532.082   |   200 | 5.68e+07  | B    |    39.80721     -     42.13671    | 2s.2p.(3P*).3p | 2D   | 2s.2p.(3P*).3d | 2F*  |    |
N III     |            532.718   |   150 | 5.29e+07  | B    |    39.79622     -     42.12296    | 2s.2p.(3P*).3p | 2D   | 2s.2p.(3P*).3d | 2F*  |    |
N II      |            549.567   |   450 | 2.66e+07  | B+   |    21.159915    -     23.415329   | 2s2.2p.3p      | 3P   | 2s2.2p.3d      | 3P*  |    |
N II      |            553.536   |   285 | 6.04e+07  | C+   |    25.506625    -     27.745866   | 2s.2p2.(4P).3s | 5P   | 2s.2p2.(4P).3p | 5D*  |    |
N II      |            566.663   |   650 | 3.45e+07  | A    |    18.466227    -     20.653591   | 2s2.2p.3s      | 3P*  | 2s2.2p.3p      | 3D   |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N II      |            567.602   |   550 | 2.80e+07  | A    |    18.462311    -     20.646057   | 2s2.2p.3s      | 3P*  | 2s2.2p.3p      | 3D   |    |
N II      |            567.956   |   870 | 4.96e+07  | A    |    18.483132    -     20.665517   | 2s2.2p.3s      | 3P*  | 2s2.2p.3p      | 3D   |    |
N II      |            568.621   |   450 | 1.78e+07  | A    |    18.466227    -     20.646057   | 2s2.2p.3s      | 3P*  | 2s2.2p.3p      | 3D   |    |
N II      |            571.077   |   450 | 1.17e+07  | A    |    18.483132    -     20.653591   | 2s2.2p.3s      | 3P*  | 2s2.2p.3p      | 3D   |    |
