
----------------------------------------------------------------------------------------
Spectrum  |          Observed  |    Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |    Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Air (nm)  |         |           |      |                     |    |
----------------------------------------------------------------------------------------
          |                    |         |           |      |                     |    |
Re I      |           347.644  |     240 |           |      |                     |    |
Re I      |           348.038  |     400 |           |      |                     |    |
Re I      |           348.085  |     320 |           |      |                     |    |
Re I      |           348.223  |     240 |           |      |                     |    |
Re I      |           350.306  |     560 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           351.228  |    100c |           |      |                     |    |
Re I      |           351.665  |     320 |           |      |                     |    |
Re I      |           351.733  |     320 |           |      |                     |    |
Re I      |           353.482  |     120 |           |      |                     |    |
Re I      |           353.746  |     320 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           353.933  |     160 |           |      |                     |    |
Re I      |           354.989  |     240 |           |      |                     |    |
Re I      |           355.129  |     160 |           |      |                     |    |
Re I      |           355.365  |     160 |           |      |                     |    |
Re I      |           355.894  |     160 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           356.823  |     160 |           |      |                     |    |
Re I      |           357.026  |     240 |           |      |                     |    |
Re I      |           357.912  |     360 |           |      |                     |    |
Re II     |           358.015  |    810c |           |      |                     |    |
Re I      |           358.097  |     650 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           358.302  |     810 |           |      |                     |    |
Re I      |           359.639  |     160 |           |      |                     |    |
Re I      |           361.049  |     160 |           |      |                     |    |
Re I      |           361.708  |     320 |           |      |                     |    |
Re I      |           362.146  |     160 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           362.591  |     160 |           |      |                     |    |
Re I      |           363.706  |     140 |           |      |                     |    |
Re I      |           363.784  |     810 |           |      |                     |    |
Re I      |           365.197  |     440 |           |      |                     |    |
Re I      |           366.978  |     120 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           367.053  |     320 |           |      |                     |    |
Re I      |           368.950  |    860c |           |      |                     |    |
Re I      |           369.148  |   1500c |           |      |                     |    |
Re I      |           369.771  |     100 |           |      |                     |    |
Re I      |           370.324  |     520 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           370.502  |     100 |           |      |                     |    |
Re I      |           370.993  |     240 |           |      |                     |    |
Re I      |           371.728  |    360c |           |      |                     |    |
Re I      |           372.576  |    4000 |           |      |                     |    |
Re I      |           373.187  |     140 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           373.228  |     140 |           |      |                     |    |
Re I      |           373.501  |    240c |           |      |                     |    |
Re I      |           373.531  |     810 |           |      |                     |    |
Re I      |           374.010  |     910 |           |      |                     |    |
Re I      |           374.041  |     140 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re II     |           374.226  |     130 |           |      |                     |    |
Re I      |           374.544  |  300c,w |           |      |                     |    |
Re I      |           376.648  |     140 |           |      |                     |    |
Re I      |           376.826  |     120 |           |      |                     |    |
Re I      |           377.766  |     140 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           378.752  |     700 |           |      |                     |    |
Re I      |           379.659  |     160 |           |      |                     |    |
Re I      |           379.759  |     160 |           |      |                     |    |
Re I      |           380.774  |     190 |           |      |                     |    |
Re I      |           381.566  |     120 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           383.630  |     120 |           |      |                     |    |
Re I      |           386.994  |     240 |           |      |                     |    |
Re I      |           387.526  |     240 |           |      |                     |    |
Re I      |           387.686  |     240 |           |      |                     |    |
Re I      |           390.821  |     100 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           391.392  |     130 |           |      |                     |    |
Re I      |           391.727  |    380c |           |      |                     |    |
Re I      |           392.985  |     550 |           |      |                     |    |
Re I      |           393.690  |     140 |           |      |                     |    |
Re I      |           394.472  |     110 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           394.591  |     180 |           |      |                     |    |
Re I      |           396.104  |     280 |           |      |                     |    |
Re I      |           396.248  |    350c |           |      |                     |    |
Re I      |           400.493  |     100 |           |      |                     |    |
Re I      |           402.296  |     140 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           402.331  |     100 |           |      |                     |    |
Re I      |           402.963  |    110c |           |      |                     |    |
Re I      |           403.331  |     220 |           |      |                     |    |
Re I      |           403.749  |     110 |           |      |                     |    |
Re I      |           404.899  |     200 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           408.143  |     240 |           |      |                     |    |
Re I      |           410.442  |     140 |           |      |                     |    |
Re I      |           411.089  |    240c |           |      |                     |    |
Re I      |           412.164  |     190 |           |      |                     |    |
Re I      |           413.342  |  240c,w |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           413.645  |    1800 |           |      |                     |    |
Re I      |           414.436  |     700 |           |      |                     |    |
Re I      |           414.996  |     140 |           |      |                     |    |
Re I      |           417.040  |     160 |           |      |                     |    |
Re I      |           418.290  |     220 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           418.306  |     220 |           |      |                     |    |
Re I      |           422.108  |     650 |           |      |                     |    |
Re I      |           422.746  |   3600c |           |      |                     |    |
Re I      |           424.139  |     150 |           |      |                     |    |
Re I      |           425.760  |    260c |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           429.117  |    120c |           |      |                     |    |
Re I      |           430.440  |     200 |           |      |                     |    |
Re I      |           433.225  |     200 |           |      |                     |    |
Re II     |           435.798  |      40 |           |      |                     |    |
Re I      |           435.869  |     380 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           436.758  |     190 |           |      |                     |    |
Re I      |           439.134  |     140 |           |      |                     |    |
Re I      |           439.438  |  360c,w |           |      |                     |    |
Re I      |           440.640  |  110c,w |           |      |                     |    |
Re I      |           441.582  |     180 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           447.508  |     150 |           |      |                     |    |
Re I      |           447.839  |     120 |           |      |                     |    |
Re I      |           450.704  |    120c |           |      |                     |    |
Re I      |           451.331  |    2600 |           |      |                     |    |
Re I      |           451.664  |     260 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           452.273  |     500 |           |      |                     |    |
Re I      |           452.388  |     120 |           |      |                     |    |
Re I      |           452.995  |     120 |           |      |                     |    |
Re I      |           454.517  |     100 |           |      |                     |    |
Re I      |           458.068  |     120 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           460.573  |     120 |           |      |                     |    |
Re I      |           462.138  |     100 |           |      |                     |    |
Re I      |           479.142  |    190c |           |      |                     |    |
Re I      |           488.914  | 2200c,w |           |      |                     |    |
Re I      |           492.390  |     220 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           505.856  |      40 |           |      |                     |    |
Re I      |           509.650  |      70 |           |      |                     |    |
Re I      |           512.032  |      20 |           |      |                     |    |
Re I      |           516.165  |      25 |           |      |                     |    |
Re I      |           517.889  |     40c |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           518.174  |      20 |           |      |                     |    |
Re I      |           523.431  |      35 |           |      |                     |    |
Re I      |           524.886  |      50 |           |      |                     |    |
Re I      |           527.095  |    1300 |           |      |                     |    |
Re I      |           527.556  | 1600c,w |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           527.824  |     100 |           |      |                     |    |
Re I      |           530.556  |      30 |           |      |                     |    |
Re I      |           531.728  |      20 |           |      |                     |    |
Re I      |           532.128  |      35 |           |      |                     |    |
Re I      |           532.746  |      50 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           533.190  |      20 |           |      |                     |    |
Re I      |           533.276  |      20 |           |      |                     |    |
Re I      |           533.385  |      20 |           |      |                     |    |
Re I      |           536.948  |      35 |           |      |                     |    |
Re I      |           536.980  |     50c |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           537.710  |    100c |           |      |                     |    |
Re I      |           543.190  |      25 |           |      |                     |    |
Re I      |           543.703  |      14 |           |      |                     |    |
Re I      |           544.792  |      14 |           |      |                     |    |
Re I      |           546.064  |      25 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           552.005  |     14w |           |      |                     |    |
Re I      |           552.110  |      25 |           |      |                     |    |
Re I      |           553.268  |     50c |           |      |                     |    |
Re I      |           556.324  |     50c |           |      |                     |    |
Re I      |           557.347  |      25 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           558.472  |      25 |           |      |                     |    |
Re I      |           560.721  |     10w |           |      |                     |    |
Re I      |           561.227  |     12w |           |      |                     |    |
Re I      |           566.788  |     100 |           |      |                     |    |
Re I      |           571.143  |      25 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           571.695  |      18 |           |      |                     |    |
Re I      |           575.293  |    110c |           |      |                     |    |
Re I      |           577.683  |  110c,w |           |      |                     |    |
Re I      |           579.160  |      18 |           |      |                     |    |
Re I      |           581.592  |     10c |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           583.431  |     550 |           |      |                     |    |
Re I      |           591.986  |      10 |           |      |                     |    |
Re I      |           594.324  |      60 |           |      |                     |    |
Re I      |           595.021  |      10 |           |      |                     |    |
Re I      |           596.977  |     18w |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           598.999  |      10 |           |      |                     |    |
Re I      |           599.573  |     18w |           |      |                     |    |
Re I      |           611.422  |      30 |           |      |                     |    |
Re I      |           614.581  |     35c |           |      |                     |    |
Re I      |           614.682  |      50 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           620.324  |      18 |           |      |                     |    |
Re I      |           621.797  |      25 |           |      |                     |    |
Re I      |           622.942  |   30c,w |           |      |                     |    |
Re I      |           624.324  |   35c,w |           |      |                     |    |
Re I      |           626.002  |    35bl |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           626.024  |         |           |      |                     |    |
Re I      |           627.137  |     18c |           |      |                     |    |
Re I      |           627.876  |      18 |           |      |                     |    |
