
----------------------------------------------------------------------------------------
Spectrum  |            Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |           Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |            Vac (nm)  |       |           |      |                     |    |
----------------------------------------------------------------------------------------
          |                      |       |           |      |                     |    |
Y I       |           473.23989  |   500 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           473.762    | 2000c |           |      |                     |    |
Y I       |           474.1401   |   850 |           |      |                     |    |
Y I       |           475.2790   |   700 |           |      |                     |    |
Y I       |           476.0978   |     6 |           |      |                     |    |
Y I       |           476.2955   |    11 | 4.2e+06   |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           478.0163   |    70 | 8.9e+06   |      |                     |    |
Y I       |           478.10330  |   200 | 1.0e+07   |      |                     |    |
Y II      |           478.658    |   160 | 2.1e+06   |      |                     |    |
Y I       |           478.68753  |   300 |           |      |                     |    |
Y I       |           479.9301   |   300 | 1.6e+07   |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           480.4313   |   150 | 2.6e+07   |      |                     |    |
Y I       |           480.4803   |   200 | 3.84e+07  |      |                     |    |
Y I       |           481.96386  |   300 |           |      |                     |    |
Y I       |           482.16279  |    50 | 1.0e+07   |      |                     |    |
Y I       |           482.2121   |   300 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           482.331    |   190 | 4.3e+06   |      |                     |    |
Y I       |           483.91470  |   150 |           |      |                     |    |
Y I       |           483.9866   |   500 |           |      |                     |    |
Y I       |           484.5668   |   500 | 6.8e+07   |      |                     |    |
Y I       |           485.2682   |   300 | 6.2e+07   |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           485.4243   |   200 |           |      |                     |    |
Y II      |           485.487    |   890 | 3.9e+07   |      |                     |    |
Y I       |           485.6714   |   150 | 2.0e+07   |      |                     |    |
Y I       |           485.98413  |   500 | 7.26e+07  |      |                     |    |
Y I       |           487.9652   |   200 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           488.1433   |    20 | 1.5e+05   |      |                     |    |
Y II      |           488.369    |  1900 | 4.7e+07   |      |                     |    |
Y I       |           488.6291   |   200 |           |      |                     |    |
Y I       |           488.6640   |   150 |           |      |                     |    |
Y I       |           489.3436   |   300 | 2.2e+07   |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           490.008    |  mYII | 2.0e+07   |      |                     |    |
Y II      |           490.012    |  1100 | 4.51e+07  |      |                     |    |
Y I       |           490.6108   |   300 | 1.2e+07   |      |                     |    |
Y I       |           490.89897  |    10 |           |      |                     |    |
Y I       |           492.1877   |   400 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           493.0935   |    70 |           |      |                     |    |
Y I       |           495.0005   |     6 | 2.0e+06   |      |                     |    |
Y I       |           495.0661   |    50 |           |      |                     |    |
Y I       |           496.3489   |     3 | 1.4e+06   |      |                     |    |
Y I       |           497.43036  |  1000 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           498.19646  |     2 | 4.7e+05   |      |                     |    |
Y II      |           498.213    |   120 | 1.5e+06   |      |                     |    |
Y I       |           500.44350  |     2 | 1.2e+06   |      |                     |    |
Y I       |           500.69623  |   200 |           |      |                     |    |
Y I       |           507.0187   |    20 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           507.21943  |    20 |           |      |                     |    |
Y II      |           508.742    |  1100 | 2.0e+07   |      |                     |    |
Y I       |           508.82011  |     9 |           |      |                     |    |
Y III     |           510.288    |  7500 |           |      |                     |    |
Y II      |           511.911    |   210 | 1.6e+06   |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           512.040    |  1300 |           |      |                     |    |
Y II      |           512.321    |   450 |           |      |                     |    |
Y I       |           513.51993  |   300 |           |      |                     |    |
Y II      |           519.643    |   120 |           |      |                     |    |
Y II      |           520.041    |   960 | 1.3e+07   |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           520.50105  |     3 | 8.4e+05   |      |                     |    |
Y II      |           520.572    |  1500 | 1.6e+07   |      |                     |    |
Y III     |           523.810    | 10000 |           |      |                     |    |
Y I       |           524.0800   |   400 |           |      |                     |    |
Y I       |           525.8474   |     2 | 2.9e+05   |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           526.358    |  3000 |           |      |                     |    |
Y I       |           527.182    |       | 1.1e+06   |      |                     |    |
Y II      |           528.982    |    60 | 6.7e+05   |      |                     |    |
Y II      |           532.078    |    45 | 3.9e+05   |      |                     |    |
Y I       |           538.06294  |   300 | 3.2e+07   |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           538.1244   |     4 | 9.9e+05   |      |                     |    |
