
--------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                     Observed  |  Rel. |     Aki    | Acc. |                Ei           Ek                  |  Lower level  |  Upper level  |Type|
          |                    Wavelength |  Int. |     s^-1   |      |               (eV)         (eV)                 |---------------|---------------|    |
          |                     Air (nm)  |       |            |      |                                                 | Conf.  | Term | Conf.  | Term |    |
He I      |                412.08154      |   12* | 1.4843e+06 | AAA  |   [20.96409576568]    -    [23.9719706931]      | 1s.2p  | 3P*  | 1s.5s  | 3S   |    |
He I      |                414.3761       |     3 | 4.8812e+06 | AAA  |   [21.2180220941]     -    [24.209249058389]    | 1s.2p  | 1P*  | 1s.6d  | 1D   |    |
He I      |                416.8967       |     1 | 1.8298e+06 | AAA  |   [21.2180220941]     -    [24.1911595405]      | 1s.2p  | 1P*  | 1s.6s  | 1S   |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |                438.79296      |    10 | 8.9889e+06 | AAA  |   [21.2180220941]     -    [24.042802683703]    | 1s.2p  | 1P*  | 1s.5d  | 1D   |    |
He I      |                443.7551       |     3 | 3.2689e+06 | AAA  |   [21.2180220941]     -    [24.0112142630]      | 1s.2p  | 1P*  | 1s.5s  | 1S   |    |
He I      |                447.14802      |  200* | 6.8275e+05 | AAA  |   [20.96408629014]    -    [23.73609191987]     | 1s.2p  | 3P*  | 1s.4d  | 3D   |    |
He I      |                447.14802      |  200* | 6.1440e+06 | AAA  |   [20.96408629014]    -    [23.73608962362]     | 1s.2p  | 3P*  | 1s.4d  | 3D   |    |
He I      |                447.14802      |  200* | 2.4579e+07 | AAA  |   [20.96408629014]    -    [23.73608947465]     | 1s.2p  | 3P*  | 1s.4d  | 3D   |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |                447.14802      |  200* | 1.0241e+07 | AAA  |   [20.96409576568]    -    [23.73609191987]     | 1s.2p  | 3P*  | 1s.4d  | 3D   |    |
He I      |                447.14802      |  200* | 1.8432e+07 | AAA  |   [20.96409576568]    -    [23.73608962362]     | 1s.2p  | 3P*  | 1s.4d  | 3D   |    |
He I      |                471.31457      |   30* | 5.2894e+06 | AAA  |   [20.96408629014]    -    [23.5939580043]      | 1s.2p  | 3P*  | 1s.4s  | 3S   |    |
He I      |                471.31457      |   30* | 3.1736e+06 | AAA  |   [20.96409576568]    -    [23.5939580043]      | 1s.2p  | 3P*  | 1s.4s  | 3S   |    |
He I      |                492.19313      |    20 | 1.9863e+07 | AAA  |   [21.2180220941]     -    [23.73633432004]     | 1s.2p  | 1P*  | 1s.4d  | 1D   |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |                501.56783      |   100 | 1.3372e+07 | AAA  |   [20.6157742320]     -    [23.0870178434]      | 1s.2s  | 1S   | 1s.3p  | 1P*  |    |
He I      |                504.7738       |    10 | 6.7712e+06 | AAA  |   [21.2180220941]     -    [23.6735698782]      | 1s.2p  | 1P*  | 1s.4s  | 1S   |    |
He I      |                587.5621       |  500* | 1.7673e+07 | AAA  |   [20.96408629014]    -    [23.07365033254]     | 1s.2p  | 3P*  | 1s.3d  | 3D   |    |
He I      |                587.5621       |  500* | 7.0708e+07 | AAA  |   [20.96408629014]    -    [23.07365002105]     | 1s.2p  | 3P*  | 1s.3d  | 3D   |    |
He I      |                587.5621       |  500* | 2.9462e+07 | AAA  |   [20.96409576568]    -    [23.07365581279]     | 1s.2p  | 3P*  | 1s.3d  | 3D   |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |                587.5621       |  500* | 5.3019e+07 | AAA  |   [20.96409576568]    -    [23.07365033254]     | 1s.2p  | 3P*  | 1s.3d  | 3D   |    |
He I      |                667.8151       |   100 | 6.3705e+07 | AAA  |   [21.2180220941]     -    [23.07407411054]     | 1s.2p  | 1P*  | 1s.3d  | 1D   |    |
He I      |                706.5190       |  200* | 1.5474e+07 | AAA  |   [20.96408629014]    -    [22.718465749]       | 1s.2p  | 3P*  | 1s.3s  | 3S   |    |
He I      |                706.5190       |  200* | 9.2844e+06 | AAA  |   [20.96409576568]    -    [22.718465749]       | 1s.2p  | 3P*  | 1s.3s  | 3S   |    |
He I      |                706.571        |    30 | 3.0948e+06 | AAA  |   [20.96421825155]    -    [22.718465749]       | 1s.2p  | 3P*  | 1s.3s  | 3S   |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |                728.1349       |    50 | 1.8299e+07 | AAA  |   [21.2180220941]     -    [22.920316680]       | 1s.2p  | 1P*  | 1s.3s  | 1S   |    |
He I      |                921.0337       |    2* | 2.2685e+03 | AAA  |   [23.07365002105]    -    [24.4194240466782]   | 1s.3d  | 3D   | 1s.9f  | 3F*  |    |
He I      |                921.0337       |    2* | 5.1041e+05 | AAA  |   [23.07365002105]    -    [24.4194239529837]   | 1s.3d  | 3D   | 1s.9f  | 3F*  |    |
He I      |                921.0337       |    2* | 4.3822e+04 | AAA  |   [23.07365002105]    -    [24.4194239018363]   | 1s.3d  | 3D   | 1s.9f  | 3F*  |    |
He I      |                921.0337       |    2* | 7.9378e+04 | AAA  |   [23.07365033254]    -    [24.4194240466782]   | 1s.3d  | 3D   | 1s.9f  | 3F*  |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |                921.0337       |    2* | 3.5681e+05 | AAA  |   [23.07365033254]    -    [24.4194239018363]   | 1s.3d  | 3D   | 1s.9f  | 3F*  |    |
He I      |                921.0337       |    2* | 4.2875e+05 | AAA  |   [23.07365581279]    -    [24.4194240466782]   | 1s.3d  | 3D   | 1s.9f  | 3F*  |    |
He I      |                952.617        |    3* | 3.3834e+03 | AAA  |   [23.07365002105]    -    [24.3748063829793]   | 1s.3d  | 3D   | 1s.8f  | 3F*  |    |
He I      |                952.617        |    3* | 7.6127e+05 | AAA  |   [23.07365002105]    -    [24.3748062495622]   | 1s.3d  | 3D   | 1s.8f  | 3F*  |    |
He I      |                952.617        |    3* | 6.4641e+04 | AAA  |   [23.07365002105]    -    [24.3748061744415]   | 1s.3d  | 3D   | 1s.8f  | 3F*  |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |                952.617        |    3* | 1.1839e+05 | AAA  |   [23.07365033254]    -    [24.3748063829793]   | 1s.3d  | 3D   | 1s.8f  | 3F*  |    |
He I      |                952.617        |    3* | 5.2655e+05 | AAA  |   [23.07365033254]    -    [24.3748061744415]   | 1s.3d  | 3D   | 1s.8f  | 3F*  |    |
He I      |                952.617        |    3* | 6.3946e+05 | AAA  |   [23.07365581279]    -    [24.3748063829793]   | 1s.3d  | 3D   | 1s.8f  | 3F*  |    |
He I      |                952.927        |     1 | 5.8976e+05 | AAA  |   [23.07407411054]    -    [24.3748065876162]   | 1s.3d  | 1D   | 1s.8f  | 1F*  |    |
He I      |               1002.773        |    6* | 5.4147e+03 | AAA  |   [23.07365002105]    -    [24.3097268677921]   | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |               1002.773        |    6* | 1.2183e+06 | AAA  |   [23.07365002105]    -    [24.3097266686130]   | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
He I      |               1002.773        |    6* | 1.8947e+05 | AAA  |   [23.07365033254]    -    [24.3097268677921]   | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
He I      |               1002.773        |    6* | 1.0174e+05 | AAA  |   [23.07365002105]    -    [24.3097265513837]   | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
He I      |               1002.773        |    6* | 8.2928e+05 | AAA  |   [23.07365033254]    -    [24.3097265513837]   | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
He I      |               1002.773        |    6* | 1.0234e+06 | AAA  |   [23.07365581279]    -    [24.3097268677921]   | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |               1003.116        |     2 | 9.2892e+05 | AAA  |   [23.07407411054]    -    [24.3097271572933]   | 1s.3d  | 1D   | 1s.7f  | 1F*  |    |
He I      |               1091.292        |   12* | 9.6197e+03 | AAA  |   [23.07365002105]    -    [24.2094546074342]   | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
He I      |               1091.292        |   12* | 3.3661e+05 | AAA  |   [23.07365033254]    -    [24.2094546074342]   | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
He I      |               1091.292        |   12* | 2.1644e+06 | AAA  |   [23.07365002105]    -    [24.2094542910853]   | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
He I      |               1091.292        |   12* | 1.7594e+05 | AAA  |   [23.07365002105]    -    [24.2094540921349]   | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |               1091.292        |   12* | 1.4356e+06 | AAA  |   [23.07365033254]    -    [24.2094540921349]   | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
He I      |               1091.305        |     9 | 1.8181e+06 | AAA  |   [23.07365581279]    -    [24.2094546074342]   | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
He I      |               1091.710        |     3 | 1.6083e+06 | AAA  |   [23.07407411054]    -    [24.2094550303880]   | 1s.3d  | 1D   | 1s.6f  | 1F*  |    |
He I      |               1196.912        |    30 | 2.6084e+06 | AAA  |   [23.0070751859]     -    [24.042661593090]    | 1s.3p  | 3P*  | 1s.5d  | 3D   |    |
