
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |    Rel. |    Aki    | Acc. |              Ei           Ek              |           Lower level           |           Upper level           |Type|
          |                Wavelength |    Int. |    s^-1   |      |             (eV)         (eV)             |---------------------------------|---------------------------------|    |
          |                 Vac (nm)  |         |           |      |                                           | Conf.                 | Term    | Conf.                 | Term    |    |
Al V      |                113.000    |       2 | 3.01e+08  | C+   |    103.76701        -     114.7389        | 2s2.2p4.(3P).3p       | 2P*     | 2s2.2p4.(3P).3d       | 2D      |    |
Al V      |                113.184    |      10 | 7.78e+08  | C+   |    108.39691        -     119.3510        | 2s2.2p4.(1D).3p       | 2D*     | 2s2.2p4.(1D).3d       | 2D      |    |
Al II     |                113.2726   |      35 |           |      |      7.420704       -      18.366415      | 3s.3p                 | 1P*     | 3s.11d                | 1D      |    |
Al IV     |                113.6821   |     400 | 1.36e+09  | B+   |     83.27181        -      94.17800       | 2s2.2p5.(2P*).3p      | 3S      | 2s2.2p5.(2P*).3d      | 3P*     |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al V      |                113.925    |       1 | 1.27e+08  | C+   |    103.91336        -     114.7962        | 2s2.2p4.(3P).3p       | 2S*     | 2s2.2p4.(3P).3d       | 2P      |    |
Al V      |                114.139    |       1 | 3.42e+08  | C+   |    108.36541        -     119.2279        | 2s2.2p4.(1D).3p       | 2D*     | 2s2.2p4.(1D).3d       | 2P      |    |
Al IV     |                114.2058   |     200 | 1.44e+09  | B    |     83.27181        -      94.12798       | 2s2.2p5.(2P*).3p      | 3S      | 2s2.2p5.(2P*).3d      | 3P*     |    |
Al II     |                114.29529  |     100 |           |      |      7.420704       -      18.268437      | 3s.3p                 | 1P*     | 3s.10d                | 1D      |    |
Al IV     |                114.9450   |     200 |           |      |     95.57159        -     106.35799       | 2s2.2p5.(2P*).3d      | 1P*     | 2s2.2p5.(2P*<3/2>).4f | 2[5/2]  |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al V      |                115.030    |     300 | 9.07e+08  | C+   |     98.76859        -     109.5473        | 2s2.2p4.(1D).3s       | 2D      | 2s2.2p4.(1D).3p       | 2P*     |    |
Al V      |                115.067    |      10 | 5.04e+07  | C    |     98.77237        -     109.5473        | 2s2.2p4.(1D).3s       | 2D      | 2s2.2p4.(1D).3p       | 2P*     |    |
Al V      |                115.289    |      30 | 6.89e+07  | B    |    103.15703        -     113.9113        | 2s2.2p4.(3P).3p       | 2D*     | 2s2.2p4.(3P).3d       | 4F      |    |
Al IV     |                115.4730   |     250 |           |      |     95.57159        -     106.30860       | 2s2.2p5.(2P*).3d      | 1P*     | 2s2.2p5.(2P*<3/2>).4f | 2[3/2]  |    |
Al V      |                115.490    |      10 | 3.50e+08  | C+   |    108.39691        -     119.1324        | 2s2.2p4.(1D).3p       | 2D*     | 2s2.2p4.(1D).3d       | 2P      |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al IV     |                115.6263   |     150 | 1.96e+08  | B    |     84.41585        -      95.13871       | 2s2.2p5.(2P*).3p      | 3D      | 2s2.2p5.(2P*).3d      | 3D*     |    |
Al II     |                115.70881  |     125 |           |      |      7.420704       -      18.13591       | 3s.3p                 | 1P*     | 3s.9d                 | 1D      |    |
Al II     |                115.82103  |     100 |           |      |      7.420704       -      18.12551       | 3s.3p                 | 1P*     | 3s.10s                | 1S      |    |
Al IV     |                116.032    |       1 | 8.81e+06  | C+   |     84.41585        -      95.10030       | 2s2.2p5.(2P*).3p      | 3D      | 2s2.2p5.(2P*).3d      | 1D*     |    |
