
--------------------------------------------------------------------------------------
Spectrum  |          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Air (nm)  |       |           |      |                     |    |
--------------------------------------------------------------------------------------
Os I      |           335.174  |   110 |           |      |                     |    |
Os I      |           335.797  |   230 |           |      |                     |    |
Os I      |           336.115  |   250 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           336.412  |   190 |           |      |                     |    |
Os I      |           337.020  |   120 |           |      |                     |    |
Os I      |           337.059  |   960 |           |      |                     |    |
Os I      |           337.208  |   160 |           |      |                     |    |
Os I      |           337.868  |   120 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           338.400  |   310 |           |      |                     |    |
Os I      |           338.594  |   190 |           |      |                     |    |
Os I      |           338.784  |   620 |           |      |                     |    |
Os I      |           340.117  |   120 |           |      |                     |    |
Os I      |           340.186  |   620 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           340.251  |   250 |           |      |                     |    |
Os I      |           340.876  |   120 |           |      |                     |    |
Os I      |           341.274  |   120 |           |      |                     |    |
Os I      |           342.169  |   120 |           |      |                     |    |
Os I      |           342.767  |   150 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           344.060  |   250 |           |      |                     |    |
Os I      |           344.446  |   120 |           |      |                     |    |
Os I      |           344.555  |   160 |           |      |                     |    |
Os I      |           344.920  |   310 |           |      |                     |    |
Os I      |           345.838  |   120 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           346.544  |   120 |           |      |                     |    |
Os I      |           347.853  |   120 |           |      |                     |    |
Os I      |           348.211  |   120 |           |      |                     |    |
Os I      |           348.746  |   120 |           |      |                     |    |
Os I      |           349.854  |   160 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           350.116  |   250 |           |      |                     |    |
Os I      |           350.466  |   620 |           |      |                     |    |
Os I      |           351.299  |   440 |           |      |                     |    |
Os I      |           351.872  |   310 |           |      |                     |    |
Os I      |           352.000  |   120 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           352.364  |   480 |           |      |                     |    |
Os I      |           352.604  |   120 |           |      |                     |    |
Os I      |           352.860  |  1200 |           |      |                     |    |
Os I      |           353.006  |   230 |           |      |                     |    |
Os I      |           353.280  |   230 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           353.341  |   120 |           |      |                     |    |
Os I      |           354.271  |   230 |           |      |                     |    |
Os I      |           355.979  |   960 |           |      |                     |    |
Os I      |           356.086  |  1200 |           |      |                     |    |
Os I      |           356.234  |   120 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           356.978  |   310 |           |      |                     |    |
Os I      |           357.408  |   120 |           |      |                     |    |
Os I      |           358.732  |   120 |           |      |                     |    |
Os I      |           359.811  |   620 |           |      |                     |    |
Os I      |           360.183  |   190 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os II     |           360.448  |    95 |           |      |                     |    |
Os I      |           361.657  |   250 |           |      |                     |    |
Os I      |           361.943  |   120 |           |      |                     |    |
Os I      |           364.033  |   450 |           |      |                     |    |
Os I      |           365.449  |   230 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           365.690  |   330 |           |      |                     |    |
Os I      |           366.631  |   120 |           |      |                     |    |
Os I      |           367.089  |   480 |           |      |                     |    |
Os I      |           367.545  |   120 |           |      |                     |    |
Os I      |           368.906  |   250 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           370.325  |   190 |           |      |                     |    |
Os I      |           370.656  |   120 |           |      |                     |    |
Os I      |           370.914  |   120 |           |      |                     |    |
Os I      |           371.373  |   230 |           |      |                     |    |
Os I      |           371.952  |   210 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           372.013  |   230 |           |      |                     |    |
Os I      |           374.647  |   180 |           |      |                     |    |
Os I      |           375.252  |  3700 |           |      |                     |    |
Os I      |           375.712  |   100 |           |      |                     |    |
Os I      |           376.630  |   130 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           376.814  |   120 |           |      |                     |    |
Os I      |           377.440  |   120 |           |      |                     |    |
Os I      |           377.462  |   110 |           |      |                     |    |
Os I      |           377.625  |   120 |           |      |                     |    |
Os I      |           377.699  |   290 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           378.220  |  2100 |           |      |                     |    |
Os I      |           379.014  |   620 |           |      |                     |    |
Os I      |           379.073  |   180 |           |      |                     |    |
Os I      |           379.391  |   370 |           |      |                     |    |
Os I      |           383.606  |   250 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           384.030  |   150 |           |      |                     |    |
Os I      |           384.129  |   150 |           |      |                     |    |
Os I      |           384.994  |   190 |           |      |                     |    |
Os I      |           385.709  |   230 |           |      |                     |    |
Os I      |           386.547  |   230 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           387.677  |   730 |           |      |                     |    |
Os I      |           388.186  |   250 |           |      |                     |    |
Os I      |           390.039  |   140 |           |      |                     |    |
Os I      |           390.171  |   190 |           |      |                     |    |
Os I      |           393.000  |   100 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           393.859  |   250 |           |      |                     |    |
Os I      |           394.978  |   100 |           |      |                     |    |
Os I      |           396.102  |   200 |           |      |                     |    |
Os I      |           396.363  |  1000 |           |      |                     |    |
Os I      |           396.496  |   100 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           396.967  |   150 |           |      |                     |    |
Os I      |           397.544  |  110w |           |      |                     |    |
Os I      |           397.723  |   730 |           |      |                     |    |
Os I      |           398.818  |   100 |           |      |                     |    |
Os I      |           400.348  |   150 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           400.402  |   100 |           |      |                     |    |
Os I      |           400.516  |   150 |           |      |                     |    |
Os I      |           401.826  |   160 |           |      |                     |    |
Os I      |           403.784  |   100 |           |      |                     |    |
Os I      |           404.192  |   280 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           404.805  |   160 |           |      |                     |    |
Os I      |           406.669  |   960 |           |      |                     |    |
Os I      |           407.086  |   250 |           |      |                     |    |
Os I      |           407.156  |   190 |           |      |                     |    |
Os I      |           407.468  |   230 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           409.182  |   490 |           |      |                     |    |
Os I      |           410.030  |   120 |           |      |                     |    |
Os I      |           411.202  |  1200 |           |      |                     |    |
Os I      |           412.460  |   180 |           |      |                     |    |
Os I      |           412.896  |   180 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           413.578  |  2500 |           |      |                     |    |
Os I      |           413.784  |   150 |           |      |                     |    |
Os I      |           417.257  |   180 |           |      |                     |    |
Os I      |           417.323  |  1200 |           |      |                     |    |
Os I      |           417.563  |   620 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           418.413  |   120 |           |      |                     |    |
Os I      |           418.991  |   320 |           |      |                     |    |
Os I      |           420.145  |   180 |           |      |                     |    |
Os I      |           420.206  |   250 |           |      |                     |    |
Os I      |           421.186  |  1200 |           |      |                     |    |
          |                    |       |           |      |                     |    |
