
-------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |    Lower level     |      Upper level       |Type|
          Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |--------------------|------------------------|    |
           Air (nm)  |       |           |      |                                | Conf.       | Term | Conf.          | Term  |    |
           439.947   |   160 |           |      |                                |             |      |                |       |    |
           440.378   |    65 |           |      |                                |             |      |                |       |    |
           442.627   |   110 |           |      |                                |             |      |                |       |    |
           445.018   |    15 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           447.848   |    55 |           |      |                                |             |      |                |       |    |
           449.535   |    16 |           |      |                                |             |      |                |       |    |
           449.603   |   11w |           |      |                                |             |      |                |       |    |
           454.568   |    55 |           |      |                                |             |      |                |       |    |
           454.848   |    30 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           455.078   |    13 |           |      |                                |             |      |                |       |    |
           456.809   |    35 |           |      |                                |             |      |                |       |    |
           457.002   |    18 |           |      |                                |             |      |                |       |    |
           460.448   |    18 |           |      |                                |             |      |                |       |    |
           461.639   |    75 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           465.618   |    26 |           |      |                                |             |      |                |       |    |
           466.899   |   17w |           |      |                                |             |      |                |       |    |
           470.888   |    21 |           |      |                                |             |      |                |       |    |
           472.886   |    50 |           |      |                                |             |      |                |       |    |
           473.186   |    21 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           475.646   |    26 |           |      |                                |             |      |                |       |    |
           475.796   |    13 |           |      |                                |             |      |                |       |    |
           477.816   |    65 |           |      |                                |             |      |                |       |    |
           479.567   |    30 |           |      |                                |             |      |                |       |    |
           480.714   |    10 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           480.947   |    21 |           |      |                                |             |      |                |       |    |
           484.077   |    10 |           |      |                                |             |      |                |       |    |
           484.538   |    17 |           |      |                                |             |      |                |       |    |
           491.336   |     6 | 3.3e+06   |      |                                |             |      |                |       |    |
           493.809   |    50 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           493.9173  |    18 | 2.5e+05   |      |                                |             |      |                |       |    |
           497.048   |    26 |           |      |                                |             |      |                |       |    |
           499.974   |    25 |           |      |                                |             |      |                |       |    |
           500.274   |    25 |           |      |                                |             |      |                |       |    |
           500.917   |    17 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           501.498   |    30 |           |      |                                |             |      |                |       |    |
           504.606   |    17 |           |      |                                |             |      |                |       |    |
           512.366   |    30 |           |      |                                |             |      |                |       |    |
           517.795   |    20 |           |      |                                |             |      |                |       |    |
           523.892   |    22 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           534.074   |    12 |           |      |                                |             |      |                |       |    |
           536.432   |    35 |           |      |                                |             |      |                |       |    |
           544.950   |    75 |           |      |                                |             |      |                |       |    |
           545.450   |    30 |           |      |                                |             |      |                |       |    |
           546.940   |     7 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           562.004   |    10 |           |      |                                |             |      |                |       |    |
           562.555   |    45 |           |      |                                |             |      |                |       |    |
           582.855   |    10 |           |      |                                |             |      |                |       |    |
           588.230   |    10 |           |      |                                |             |      |                |       |    |
           588.736   |     7 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           589.406   |    35 |           |      |                                |             |      |                |       |    |
           602.610   |     7 |           |      |                                |             |      |                |       |    |
           606.783   |    12 |           |      |                                |             |      |                |       |    |
           611.067   |    20 |           |      |                                |             |      |                |       |    |
           628.828   |    12 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           633.444   |     7 |           |      |                                |             |      |                |       |    |
           662.473   |     5 |           |      |                                |             |      |                |       |    |
