
---------------------------------------------------------------------------------------
Spectrum  |          Observed  |   Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |   Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Vac (nm)  |        |           |      |                     |    |
---------------------------------------------------------------------------------------
          |                    |        |           |      |                     |    |
Nb I      |           274.885  |    200 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           275.301  |    190 |           |      |                     |    |
Nb I      |           275.861  |    280 |           |      |                     |    |
Nb II     |           276.813  |    240 |           |      |                     |    |
Nb I      |           277.320  |    310 |           |      |                     |    |
Nb II     |           278.024  |    270 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           278.236  |    130 |           |      |                     |    |
Nb II     |           279.305  |    110 |           |      |                     |    |
Nb II     |           282.708  |    190 |           |      |                     |    |
Nb I      |           283.624  |    150 |           |      |                     |    |
Nb I      |           284.094  |    110 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           284.115  |    250 |           |      |                     |    |
Nb II     |           284.265  |    280 |           |      |                     |    |
Nb II     |           284.628  |    160 |           |      |                     |    |
Nb I      |           285.145  |    110 |           |      |                     |    |
Nb II     |           286.109  |    240 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           286.432  |    100 |           |      |                     |    |
Nb II     |           286.561  |    100 |           |      |                     |    |
Nb II     |           286.852  |    500 |           |      |                     |    |
Nb II     |           287.539  |    800 |           |      |                     |    |
Nb II     |           287.695  |    270 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           287.703  |    530 |           |      |                     |    |
Nb II     |           288.072  |    100 |           |      |                     |    |
Nb II     |           288.318  |    570 |           |      |                     |    |
Nb II     |           288.883  |    280 |           |      |                     |    |
Nb II     |           289.781  |    470 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           289.924  |    400 |           |      |                     |    |
Nb II     |           290.824  |    470 |           |      |                     |    |
Nb II     |           291.059  |    670 |           |      |                     |    |
Nb II     |           291.174  |    470 |           |      |                     |    |
Nb II     |           292.781  |   1100 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           293.147  |    110 |           |      |                     |    |
Nb III    |           293.771  |     50 |           |      |                     |    |
Nb II     |           294.154  |    870 |           |      |                     |    |
Nb II     |           294.588  |   110w |           |      |                     |    |
Nb II     |           294.612  |    110 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           294.690  |    110 |           |      |                     |    |
Nb II     |           295.088  |   1100 |           |      |                     |    |
Nb II     |           297.257  |    400 |           |      |                     |    |
Nb II     |           297.410  |    320 |           |      |                     |    |
Nb II     |           297.768  |    210 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           298.211  |    200 |           |      |                     |    |
Nb II     |           299.026  |    330 |           |      |                     |    |
Nb II     |           299.473  |    470 |           |      |                     |    |
Nb III    |           300.184  |     80 |           |      |                     |    |
Nb II     |           302.474  |    140 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           302.844  |    350 |           |      |                     |    |
Nb II     |           303.277  |    300 |           |      |                     |    |
Nb II     |           304.476  |    100 |           |      |                     |    |
Nb I      |           304.810  |    150 |           |      |                     |    |
Nb I      |           305.309  |    110 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           305.552  |    100 |           |      |                     |    |
Nb II     |           306.453  |    220 |           |      |                     |    |
Nb II     |           306.968  |    110 |           |      |                     |    |
Nb II     |           307.090  |    100 |           |      |                     |    |
Nb II     |           307.156  |    110 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           307.324  |    100 |           |      |                     |    |
Nb II     |           307.687  |    400 |           |      |                     |    |
Nb II     |           308.035  |    110 |           |      |                     |    |
Nb II     |           309.418  |   1800 |           |      |                     |    |
Nb II     |           309.919  |    140 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           311.145  |    150 |           |      |                     |    |
Nb II     |           312.753  |    270 |           |      |                     |    |
Nb II     |           313.079  |   1500 |           |      |                     |    |
Nb III    |           314.226  |     80 |           |      |                     |    |
Nb II     |           314.540  |    390 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           315.187  |    140 |           |      |                     |    |
Nb II     |           316.340  |   1200 |           |      |                     |    |
Nb II     |           317.578  |    150 |           |      |                     |    |
Nb II     |           318.029  |    390 |           |      |                     |    |
Nb I      |           318.749  |    200 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           319.110  |    300 |           |      |                     |    |
Nb II     |           319.143  |    150 |           |      |                     |    |
Nb II     |           319.498  |   1000 |           |      |                     |    |
Nb II     |           320.335  |    120 |           |      |                     |    |
Nb II     |           320.634  |    300 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           321.560  |    390 |           |      |                     |    |
Nb II     |           322.548  |    800 |           |      |                     |    |
Nb II     |           322.956  |    140 |           |      |                     |    |
Nb II     |           323.640  |    400 |           |      |                     |    |
Nb II     |           324.747  |    200 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           324.894  |    120 |           |      |                     |    |
Nb I      |           324.952  |    160 |           |      |                     |    |
Nb II     |           325.407  |    320 |           |      |                     |    |
Nb II     |           326.056  |    230 |           |      |                     |    |
Nb II     |           326.337  |    160 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           326.459  |    160 |           |      |                     |    |
Nb III    |           326.611  |     60 |           |      |                     |    |
Nb I      |           327.047  |    120 |           |      |                     |    |
Nb I      |           327.076  |    100 |           |      |                     |    |
Nb I      |           327.207  |    200 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           327.767  |    160 |           |      |                     |    |
Nb II     |           328.346  |    200 |           |      |                     |    |
Nb I      |           328.566  |    230 |           |      |                     |    |
Nb I      |           328.759  |    200 |           |      |                     |    |
Nb I      |           328.792  |    160 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           329.202  |    160 |           |      |                     |    |
Nb I      |           329.601  |    320 |           |      |                     |    |
Nb I      |           329.961  |    160 |           |      |                     |    |
Nb I      |           330.483  |    120 |           |      |                     |    |
Nb I      |           330.805  |    120 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           331.047  |    120 |           |      |                     |    |
Nb I      |           331.260  |    400 |           |      |                     |    |
Nb I      |           331.522  |    200 |           |      |                     |    |
Nb I      |           331.898  |    200 |           |      |                     |    |
Nb I      |           331.926  |    120 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           331.958  |    120 |           |      |                     |    |
Nb I      |           332.662  |    240 |           |      |                     |    |
Nb I      |           332.936  |    170 |           |      |                     |    |
Nb I      |           333.216  |    110 |           |      |                     |    |
Nb II     |           334.160  |    130 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           334.197  |   1300 |           |      |                     |    |
Nb I      |           334.371  |   1300 |           |      |                     |    |
Nb I      |           334.693  |    130 |           |      |                     |    |
Nb I      |           334.906  |   1700 |           |      |                     |    |
Nb I      |           334.952  |    420 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           335.474  |    340 |           |      |                     |    |
Nb I      |           335.704  |    130 |           |      |                     |    |
Nb I      |           335.842  |   1700 |           |      |                     |    |
Nb II     |           336.558  |    130 |           |      |                     |    |
Nb I      |           336.696  |    340 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           336.916  |    130 |           |      |                     |    |
Nb I      |           337.133  |    170 |           |      |                     |    |
Nb I      |           337.492  |    350 |           |      |                     |    |
Nb I      |           338.041  |    270 |           |      |                     |    |
Nb I      |           338.086  |    130 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           338.624  |    170 |           |      |                     |    |
Nb I      |           339.234  |    350 |           |      |                     |    |
