
-----------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |      Lower level      |      Upper level      |Type|
           Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-----------------------|-----------------------|    |
            Air (nm)  |       |           |      |                                 | Conf.          | Term | Conf.          | Term |    |
           218.849    |    10 |           |      |    2.108785    -     7.772259   | 5d4.6s2        | 3H   |                | *    |    |
           218.886    |     5 |           |      |    1.868433    -     7.530973   | 5d4.6s2        | 3H   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           218.905    |    15 |           |      |    0.207090    -     5.869138   | 5d4.6s2        | 5D   |                | *    |    |
           218.919    |    30 |           |      |    0.598844    -     6.260525   | 5d4.6s2        | 5D   |                | *    |    |
           219.028    |     1 |           |      |    1.507891    -     7.166740   | 5d4.6s2        | 3H   |                | *    |    |
           219.052    |    40 |           |      |    0.771099    -     6.429337   | 5d4.6s2        | 5D   |                | *    |    |
           219.1225   |     4 |           |      |    1.708218    -     7.364629   | 5d4.6s2        | 3F2  |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           219.1446   |     4 |           |      |                                 |                |      |                |      |    |
           219.180    |     4 |           |      |                                 |                |      |                |      |    |
           219.236    |    60 |           |      |                                 |                |      |                |      |    |
           219.2615   |    30 |           |      |                                 |                |      |                |      |    |
           219.3016   |    50 |           |      |    0.207090    -     5.858941   | 5d4.6s2        | 5D   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           219.3707   |    30 |           |      |    1.507891    -     7.157912   | 5d4.6s2        | 3H   |                | *    |    |
           219.478    |    10 |           |      |                                 |                |      |                |      |    |
           219.6354   |     4 |           |      |    2.108785    -     7.751990   | 5d4.6s2        | 3H   |                | *    |    |
           219.7080   |    80 |           |      |    1.655010    -     7.296333   | 5d4.6s2        | 3G   |                | *    |    |
           219.8367   |   150 |           |      |    0.598844    -     6.236874   | 5d4.6s2        | 5D   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           219.8915   |  200r |           |      |    0.412313    -     6.048948   | 5d4.6s2        | 5D   |                | *    |    |
           219.9166   |    40 |           |      |    1.507891    -     7.143890   | 5d4.6s2        | 3H   |                | *    |    |
           219.9300   |    50 |           |      |    0.598844    -     6.234501   | 5d4.6s2        | 5D   |                | *    |    |
           219.988    |    12 |           |      |                                 |                |      |                |      |    |
           220.0316   |    25 |           |      |    1.708218    -     7.341286   | 5d4.6s2        | 3F2  |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           220.0532   |    20 |           |      |    1.655010    -     7.287518   | 5d4.6s2        | 3G   |                | *    |    |
           220.1504   |    60 |           |      |    0.207090    -     5.837101   | 5d4.6s2        | 5D   |                | *    |    |
           220.2856   |    50 |           |      |    0.771099    -     6.397649   | 5d4.6s2        | 5D   |                | *    |    |
