
-------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |    Lower level     |          Upper level          |Type|
          |          Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |--------------------|-------------------------------|    |
          |           Air (nm)  |       |           |      |                                | Conf.       | Term | Conf.            | Term       |    |
Ir II     |           304.265   |    35 |           |      |                                |             |      |                  |            |    |
Ir I      |           304.716   |   300 |           |      |                                |             |      |                  |            |    |
Ir I      |           304.944   |   300 |           |      |                                |             |      |                  |            |    |
Ir I      |           305.728   |   300 |           |      |                                |             |      |                  |            |    |
Ir I      |           306.889   |  1600 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           306.909   |   190 |           |      |                                |             |      |                  |            |    |
Ir I      |           306.971   |   190 |           |      |                                |             |      |                  |            |    |
Ir I      |           307.669   |   170 |           |      |                                |             |      |                  |            |    |
Ir I      |           308.322   |   320 |           |      |                                |             |      |                  |            |    |
Ir I      |           308.644   |   240 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           308.804   |   390 |           |      |                                |             |      |                  |            |    |
Ir I      |           310.029   |   510 |           |      |                                |             |      |                  |            |    |
Ir I      |           310.045   |   510 |           |      |                                |             |      |                  |            |    |
Ir I      |           312.076   |   340 |           |      |                                |             |      |                  |            |    |
Ir I      |           312.178   |   200 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           313.332   |  3400 |           |      |                                |             |      |                  |            |    |
Ir I      |           315.061   |   190 |           |      |                                |             |      |                  |            |    |
Ir I      |           315.474   |   190 |           |      |                                |             |      |                  |            |    |
Ir I      |           315.915   |   190 |           |      |                                |             |      |                  |            |    |
Ir I      |           316.818   |   140 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           316.888   |   490 | 5.47e+06  |      |                                |             |      |                  |            |    |
Ir I      |           317.758   |   370 |           |      |                                |             |      |                  |            |    |
Ir I      |           318.035   |   170 |           |      |                                |             |      |                  |            |    |
Ir I      |           319.892   |   370 |           |      |                                |             |      |                  |            |    |
Ir I      |           321.212   |   610 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           321.951   |   370 |           |      |                                |             |      |                  |            |    |
Ir I      |           322.078   |  5100 | 2.4e+07   |      |   0.351493    -     4.199894   | 5d8.(3F).6s | b 4F | 5d7.6s.(5F).6p   | z 6F*      |    |
Ir I      |           322.128   |   100 |           |      |                                |             |      |                  |            |    |
Ir I      |           322.928   |   300 |           |      |                                |             |      |                  |            |    |
Ir I      |           323.076   |   100 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           324.152   |   470 |           |      |                                |             |      |                  |            |    |
Ir I      |           326.201   |   200 |           |      |                                |             |      |                  |            |    |
Ir I      |           326.644   |   390 |           |      |                                |             |      |                  |            |    |
Ir I      |           327.728   |   160 |           |      |                                |             |      |                  |            |    |
Ir I      |           328.759   |   100 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           331.052   |   160 |           |      |                                |             |      |                  |            |    |
Ir I      |           332.260   |   200 |           |      |                                |             |      |                  |            |    |
Ir I      |           333.416   |   130 |           |      |                                |             |      |                  |            |    |
Ir I      |           336.848   |   560 |           |      |                                |             |      |                  |            |    |
Ir I      |           343.702   |   660 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           343.750   |   100 |           |      |                                |             |      |                  |            |    |
Ir I      |           344.897   |   410 |           |      |                                |             |      |                  |            |    |
Ir I      |           351.364   |  3200 |           |      |   0.00000     -     3.527638   | 5d7.6s2     | a 4F | 5d7.6s.(5F).6p   | z 6F*      |    |
Ir I      |           351.595   |   220 |           |      |                                |             |      |                  |            |    |
Ir I      |           352.203   |   410 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           355.717   |   160 |           |      |                                |             |      |                  |            |    |
Ir I      |           355.899   |   320 | 1.5e+06   |      |                                |             |      |                  |            |    |
Ir I      |           357.372   |  1200 | 5.4e+06   |      |                                |             |      |                  |            |    |
Ir I      |           359.439   |   320 |           |      |                                |             |      |                  |            |    |
Ir I      |           360.977   |   220 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           361.721   |   190 | 2.0e+06   |      |                                |             |      |                  |            |    |
Ir I      |           362.629   |   160 |           |      |                                |             |      |                  |            |    |
Ir I      |           362.867   |   660 | 2.8e+06   |      |                                |             |      |                  |            |    |
Ir I      |           363.620   |   220 |           |      |                                |             |      |                  |            |    |
Ir I      |           366.171   |   300 | 4.0e+06   |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           366.462   |   300 |           |      |                                |             |      |                  |            |    |
Ir I      |           367.498   |   320 |           |      |                                |             |      |                  |            |    |
Ir I      |           368.708   |   200 |           |      |                                |             |      |                  |            |    |
Ir I      |           372.538   |   140 |           |      |                                |             |      |                  |            |    |
Ir II     |           373.136   |   200 |           |      |                                |             |      |                  |            |    |
